"EDGE_Zone","Family","Species","Common_name","RL_ID","RL_Category"
"Atlantic Forest","Psittacidae","Amazona vinacea","Vinaceous-breasted Amazon",22686374,"EN"
"Atlantic Forest","Atelidae","Brachyteles arachnoides","Southern Muriqui",2993,"CR"
"Atlantic Forest","Accipitridae","Buteogallus coronatus","Crowned Solitary Eagle",22695855,"EN"
"Atlantic Forest","Accipitridae","Buteogallus lacernulatus","White-necked Hawk",22695763,"VU"
"Atlantic Forest","Tyrannidae","Calyptura cristata","Kinglet Calyptura",22700827,"CR"
"Atlantic Forest","Cotingidae","Carpornis melanocephala","Black-headed Berryeater",22700736,"VU"
"Atlantic Forest","Testudines","Hydromedusa maximiliani","Brazilian Snake-necked Turtle",10309,"VU"
"Atlantic Forest","Tityridae","Iodopleura pipra","Buff-throated Purpletuft",22700818,"EN"
"Atlantic Forest","Columbidae","Paraclaravis geoffroyi","Purple-winged Ground-dove",22690819,"CR"
"Atlantic Forest","Cricetidae","Phaenomys ferrugineus","Rio de Janeiro Arboreal Rat",16799,"EN"
"Atlantic Forest","Cracidae","Pipile jacutinga","Black-fronted Piping-guan",22678429,"EN"
"Atlantic Forest","Cricetidae","Rhagomys rufescens","Brazilian Arboreal Mouse",19454,"VU"
"Atlantic Forest","Tayassuidae","Tayassu pecari","White-lipped Peccary",41778,"VU"
"Cameroon","Cercopithecidae","Allochrocebus preussi","Preuss’s Monkey",4227,"EN"
"Cameroon","Arthroleptidae","Arthroleptis perreti","Perret's Squeaker Frog",190982,"EN"
"Cameroon","Strigidae","Bubo shelleyi","Shelley's Eagle-owl",22688980,"VU"
"Cameroon","Felidae","Caracal aurata","African Golden Cat",18306,"VU"
"Cameroon","Arthroleptidae","Cardioglossa manengouba",NA,16854228,"CR"
"Cameroon","Arthroleptidae","Cardioglossa pulchra","Black Long-fingered Frog",54408,"EN"
"Cameroon","Arthroleptidae","Cardioglossa trifasciata",NA,54410,"CR"
"Cameroon","Bucerotidae","Ceratogymna elata","Yellow-casqued Hornbill",22682627,"VU"
"Cameroon","Malaconotidae","Chlorophoneus kupeensis","Mount Kupe Bush-shrike",22707678,"EN"
"Cameroon","Conrauidae","Conraua goliath","Giant Slippery Frog",5263,"EN"
"Cameroon","Conrauidae","Conraua robusta","Cameroon Slippery Frog",58254,"VU"
"Cameroon","Scolecomorphidae","Crotaphatrema lamottei","Mount Oku Caecilian",59649,"CR"
"Cameroon","Testudines","Cyclanorbis elegans","Nubian Flapshell Turtle",6004,"CR"
"Cameroon","Bufonidae","Didynamipus sjostedti","Four-digit Toad",54811,"VU"
"Cameroon","Hominidae","Gorilla gorilla","Western Gorilla",9404,"CR"
"Cameroon","Accipitridae","Gyps rueppelli","Rüppell's Vulture",22695207,"CR"
"Cameroon","Muridae","Hylomyscus grandis","Mt Oku Hylomyscus",45054,"EN"
"Cameroon","Muridae","Lamottemys okuensis","Mount Oku Rat",11202,"EN"
"Cameroon","Arthroleptidae","Leptodactylodon albiventris","Whitebelly Egg Frog",54426,"EN"
"Cameroon","Arthroleptidae","Leptodactylodon axillaris",NA,54427,"CR"
"Cameroon","Arthroleptidae","Leptodactylodon bueanus",NA,54431,"EN"
"Cameroon","Arthroleptidae","Leptodactylodon erythrogaster","Redbelly Egg Frog",54432,"CR"
"Cameroon","Arthroleptidae","Leptodactylodon mertensi","Mertens' Egg Frog",54433,"EN"
"Cameroon","Arthroleptidae","Leptodactylodon ornatus","Ornate Egg Frog",54434,"EN"
"Cameroon","Arthroleptidae","Leptodactylodon perreti","Perret's Egg Frog",54436,"EN"
"Cameroon","Arthroleptidae","Leptodactylodon wildi",NA,54440,"CR"
"Cameroon","Malaconotidae","Malaconotus gladiator","Green-breasted Bush-shrike",22707728,"VU"
"Cameroon","Cercopithecidae","Mandrillus leucophaeus","Drill",12753,"EN"
"Cameroon","Cercopithecidae","Mandrillus sphinx","Mandrill",12754,"VU"
"Cameroon","Crocodylia","Mecistops cataphractus","Slender-snouted Crocodile",5660,"CR"
"Cameroon","Accipitridae","Necrosyrtes monachus","Hooded Vulture",22695185,"CR"
"Cameroon","Crocodylia","Osteolaemus tetraspis","African Dwarf Crocodile",15635,"VU"
"Cameroon","Muridae","Otomys burtoni","Burton’s Vlei Rat",45071,"EN"
"Cameroon","Hominidae","Pan troglodytes","Chimpanzee",15933,"EN"
"Cameroon","Petropedetidae","Petropedetes euskircheni",NA,176288,"EN"
"Cameroon","Petropedetidae","Petropedetes juliawurstnerae",NA,176289,"EN"
"Cameroon","Petropedetidae","Petropedetes perreti","Perret's Water Frog",58084,"CR"
"Cameroon","Manidae","Phataginus tetradactyla","Black-bellied Pangolin",12766,"VU"
"Cameroon","Manidae","Phataginus tricuspis","White-bellied Pangolin",12767,"EN"
"Cameroon","Phrynobatrachidae","Phrynobatrachus chukuchuku","Spiny Puddle Frog",175535,"CR"
"Cameroon","Phrynobatrachidae","Phrynobatrachus jimzimkusi","Jim Zimkus' Puddle Frog",74724558,"CR"
"Cameroon","Phrynobatrachidae","Phrynobatrachus manengoubensis","Manengouba River Frog",58125,"CR"
"Cameroon","Phrynobatrachidae","Phrynobatrachus njiomock","Lake Oku Puddle Frog",76317553,"CR"
"Cameroon","Picathartidae","Picathartes oreas","Grey-necked Rockfowl",22708119,"VU"
"Cameroon","Platysteiridae","Platysteira laticincta","Banded Wattle-eye",22707929,"EN"
"Cameroon","Accipitridae","Polemaetus bellicosus","Martial Eagle",22696116,"EN"
"Cameroon","Muridae","Praomys hartwigi","Hartwig's Soft-furred Mouse",18113,"VU"
"Cameroon","Muridae","Praomys morio","Cameroon Soft-furred Mouse",18118,"EN"
"Cameroon","Psittacidae","Psittacus erithacus","Grey Parrot",22724813,"EN"
"Cameroon","Manidae","Smutsia gigantea","Giant Ground Pangolin",12762,"EN"
"Cameroon","Musophagidae","Tauraco bannermani","Bannerman's Turaco",22688340,"EN"
"Cameroon","Squamata","Trioceros perreti","Perret's Montane Chameleon",203828,"EN"
